TransactionAmount,RecipientCommitteeParty,DonorCity,DonorState,DonorZipCode,ID,
275,,WAYLAND,MA,1778,25027,
500,Democratic,WAYLAND,MA,1778,25027,
1700,Democratic,WAYLAND,MA,1778,25027,
-2700,Democratic,WAYLAND,MA,1778,25027,
2700,Democratic,WAYLAND,MA,1778,25027,
5400,Democratic,WAYLAND,MA,1778,25027,
2700,Democratic,WAYLAND,MA,1778,25027,
5400,Democratic,WAYLAND,MA,1778,25027,
-2700,Democratic,WAYLAND,MA,1778,25027,
1000,Democratic,WAYLAND,MA,1778,25027,
500,Republican,WAYLAND,MA,1778,25027,
200,Democratic,WAYLAND,MA,1778,25027,
5400,Democratic,WAYLAND,MA,1778,25027,
-2700,Democratic,WAYLAND,MA,1778,25027,
2700,Democratic,WAYLAND,MA,1778,25027,
-2700,Democratic,WAYLAND,MA,1778,25027,
2700,Democratic,WAYLAND,MA,1778,25027,
500,Democratic,WAYLAND,MA,1778,25027,
5400,Democratic,WAYLAND,MA,1778,25027,
2700,Democratic,WAYLAND,MA,1778,25027,
2700,Democratic,WAYLAND,MA,1778,25027,
500,,WAYLAND,MA,1778,25027,
300,Democratic,WAYLAND,MA,1778,25027,
500,Democratic,WAYLAND,MA,1778,25027,
500,,WAYLAND,MA,1778,25027,
250,Democratic,WAYLAND,MA,1778,25027,
250,Democratic,WAYLAND,MA,1778,25027,
2700,Democratic,WOBURN,MA,1801,25027,
2500,Democratic,WOBURN,MA,1801,25027,
2700,Democratic,ANDOVER,MA,1810,25027,
250,Democratic,ANDOVER,MA,1810,25027,
250,Democratic,ANDOVER,MA,1810,25027,
250,Democratic,ANDOVER,MA,1810,25027,
2500,Democratic,ANDOVER,MA,1810,25027,
1000,Democratic,ANDOVER,MA,1810,25027,
1000,Democratic,ANDOVER,MA,1810,25027,
1000,Republican,ANDOVER,MA,1810,25027,
500,,ANDOVER,MA,1810,25027,
1000,,ANDOVER,PA,1810,25027,
1000,,ANDOVER,MA,1810,25027,
250,Democratic,ANDOVER,MA,1810,25027,
2400,Republican,ANDOVER,MA,1810,25027,
2600,Republican,ANDOVER,MA,1810,25027,
250,Republican,ANDOVER,MA,1810,25027,
250,,ANDOVER,MA,1810,25027,
1000,Democratic,ANDOVER,MA,1810,25027,
2000,Democratic,ANDOVER,MA,1810,25027,
2000,Democratic,ANDOVER,MA,1810,25027,
250,Democratic,BILLERICA,MA,1821,25027,
2000,Democratic,BILLERICA,MA,1821,25027,
2700,Democratic,CHELMSFORD,MA,1824,25017,X
250,,CHELMSFORD,MA,1824,25017,
1750,Republican,CHELMSFORD,MA,1824,25017,
500,Republican,METHUEN,MA,1844,25009,
250,Democrat-Farm-Labor,METHUEN,MA,1844,25009,
500,,METHUEN,MA,1844,25009,
250,Democratic,METHUEN,MA,1844,25009,
1000,Democratic,NORTH ANDOVER,MA,1845,25009,
1000,Democratic,NORTH ANDOVER,MA,1845,25009,
500,,NORTH ANDOVER,MA,1845,25009,
1000,Democratic,NORTH ANDOVER,MA,1845,25009,
1040,Republican,NORTH ANDOVER,MA,1845,25009,
250,Democratic,LOWELL,MA,1852,25009,
250,Democratic,LOWELL,MA,1852,25009,
250,Democratic,LOWELL,MA,1852,25009,
500,Democratic,LOWELL,MA,1852,25009,
2600,Democratic,LOWELL,MA,1852,25009,
2600,Democratic,LOWELL,MA,1852,25009,
250,Democratic,LOWELL,MA,1852,25009,
200,,LOWELL,MA,1852,25009,
500,Democratic,LOWELL,MA,1852,25009,
500,Republican,NORTH BILLERICA,MA,1862,25017,
1000,Democratic,NORTH READING,MA,1864,25017,
200,Democratic,READING,MA,1867,25017,
250,Democratic,TEWKSBURY,MA,1876,25017,
250,Democratic,TEWKSBURY,MA,1876,25017,
270,Democratic,TEWKSBURY,MA,1876,25017,
250,,TYNGSBORO,MA,1879,25017,
1000,,TYNGSBORO,MA,1879,25017,
250,Republican,WAKEFIELD,MA,1880,25017,
1000,,WAKEFIELD,MA,1880,25017,
1000,Democratic,WESTFORD,MA,1886,25017,
500,Democratic,WESTFORD,MA,1886,25017,
500,Democratic,WESTFORD,MA,1886,25017,
2600,Democratic,WESTFORD,MA,1886,25017,
2600,Democratic,WESTFORD,MA,1886,25017,
500,Democratic,WESTFORD,MA,1886,25017,
1100,Democratic,WESTFORD,MA,1886,25017,
200,Democratic,WESTFORD,MA,1886,25017,
1750,Republican,WESTFORD,MA,1886,25017,
1000,Republican,WESTFORD,MA,1886,25017,
1000,Republican,WESTFORD,MA,1886,25017,
500,Democratic,WILMINGTON,MA,1887,25017,
500,Democratic,WILMINGTON,MA,1887,25017,
500,Republican,WILMINGTON,MA,1887,25017,
500,Democrat-Farm-Labor,WILMINGTON,MA,1887,25017,
500,Democratic,WILMINGTON,MA,1887,25017,
500,Democratic,WILMINGTON,MA,1887,25017,
2700,Democratic,WINCHESTER,MA,1890,25017,
2700,Democratic,WINCHESTER,MA,1890,25017,
250,Democratic,WINCHESTER,MA,1890,25017,
500,Democratic,WINCHESTER,MA,1890,25017,
2700,Democratic,WINCHESTER,MA,1890,25017,
500,Independent,WINCHESTER,MA,1890,25017,
2700,Democratic,WINCHESTER,MA,1890,25017,
2700,Democratic,WINCHESTER,MA,1890,25017,
